customer_id,payment,churn_value
1,Credit Card,0
2,Electronic Check,1
3,Mailed Check,0
4,Bank Transfer,0
5,Credit Card,0
6,Electronic Check,1
7,Mailed Check,0
8,Electronic Check,1
9,Credit Card,0
10,Bank Transfer,0
11,Electronic Check,1
12,Mailed Check,0
13,Bank Transfer,0
14,Credit Card,0
15,Electronic Check,1
16,Mailed Check,0
17,Electronic Check,1
18,Bank Transfer,0
19,Mailed Check,0
20,Credit Card,0
21,Bank Transfer,0
22,Electronic Check,1
23,Credit Card,0
24,Mailed Check,0
25,Bank Transfer,0
26,Credit Card,0
27,Electronic Check,1
28,Mailed Check,0
29,Bank Transfer,0
30,Credit Card,0
